date,time,open,max,min,close,value
2011.05.04,00:00,1.48373,1.49386,1.47752,1.48276,118275
2011.05.05,00:00,1.48281,1.48978,1.45099,1.45574,128808
2011.05.06,00:00,1.45567,1.45877,1.43101,1.43143,154088
2011.05.09,00:00,1.43888,1.44415,1.42541,1.43680,126828
2011.05.10,00:00,1.43679,1.44182,1.42700,1.44001,124885
2011.05.11,00:00,1.44003,1.44228,1.41724,1.42066,137156
2011.05.12,00:00,1.42059,1.42759,1.41233,1.42296,144874
2011.05.13,00:00,1.42297,1.43402,1.40663,1.41177,130296
2011.05.16,00:00,1.40654,1.42449,1.40482,1.41448,128467
2011.05.17,00:00,1.41449,1.42755,1.41205,1.42660,133962
2011.05.18,00:00,1.42659,1.42853,1.41949,1.42580,116209
2011.05.19,00:00,1.42582,1.43361,1.42062,1.43255,120502
2011.05.20,00:00,1.43256,1.43449,1.41332,1.41581,113717
2011.05.23,00:00,1.41164,1.41350,1.39680,1.40132,115920
2011.05.24,00:00,1.40130,1.41326,1.40130,1.40913,118460
2011.05.25,00:00,1.40912,1.41179,1.40133,1.40690,139951
2011.05.26,00:00,1.40687,1.42058,1.40678,1.41441,138540
2011.05.27,00:00,1.41439,1.43228,1.41295,1.43179,78499
2011.05.30,00:00,1.42841,1.43515,1.42571,1.43331,45551
2011.05.31,00:00,1.43334,1.44369,1.43260,1.44244,82947
2011.06.01,00:00,1.44239,1.44581,1.43081,1.43454,81682
2011.06.02,00:00,1.43451,1.45132,1.43251,1.44866,111075
2011.06.03,00:00,1.44867,1.46433,1.44512,1.46341,123640
2011.06.06,00:00,1.46531,1.46575,1.45568,1.45902,119523
2011.06.07,00:00,1.45906,1.46945,1.45629,1.46793,116915
2011.06.08,00:00,1.46799,1.46891,1.45643,1.45921,131920
2011.06.09,00:00,1.45922,1.46520,1.44777,1.45372,81190
2011.06.10,00:00,1.45375,1.45505,1.43227,1.43478,75323
2011.06.13,00:00,1.43368,1.44300,1.43220,1.44149,106246
2011.06.14,00:00,1.44148,1.44969,1.43783,1.44317,123969
2011.06.15,00:00,1.44316,1.44372,1.41560,1.41917,149110
2011.06.16,00:00,1.41916,1.42213,1.40734,1.42016,164209
2011.06.17,00:00,1.42015,1.43389,1.41280,1.43078,142375
2011.06.20,00:00,1.42574,1.43839,1.41909,1.43617,124857
2011.06.21,00:00,1.43613,1.44336,1.43049,1.43772,125455
2011.06.22,00:00,1.43773,1.44415,1.43103,1.43305,117598
2011.06.23,00:00,1.43304,1.43327,1.41265,1.42607,141695
2011.06.24,00:00,1.42606,1.43060,1.41417,1.41894,135081
2011.06.27,00:00,1.41524,1.43297,1.41028,1.43110,133371
2011.06.28,00:00,1.43108,1.43969,1.42371,1.43571,134695
2011.06.29,00:00,1.43572,1.44835,1.43272,1.44638,135367
2011.06.30,00:00,1.44636,1.45355,1.44477,1.44741,123710
2011.07.01,00:00,1.44744,1.45514,1.44364,1.45283,116467
2011.07.04,00:00,1.45635,1.45671,1.44952,1.45416,72636
2011.07.05,00:00,1.45405,1.45405,1.43967,1.44344,112624
2011.07.06,00:00,1.44345,1.44671,1.42852,1.43352,124974
2011.07.07,00:00,1.43354,1.43730,1.42200,1.43607,124637
2011.07.08,00:00,1.43609,1.43677,1.42063,1.42634,122251
2011.07.11,00:00,1.42118,1.42280,1.39860,1.40382,145570
2011.07.12,00:00,1.40384,1.40535,1.38368,1.39894,195259
2011.07.13,00:00,1.39897,1.42816,1.39628,1.42697,131717
2011.07.14,00:00,1.42683,1.42683,1.41161,1.41619,102462
2011.07.15,00:00,1.41607,1.41923,1.40923,1.41580,82468
2011.07.18,00:00,1.41208,1.41359,1.40141,1.41253,126337
2011.07.19,00:00,1.41262,1.42169,1.40688,1.41699,131756
2011.07.20,00:00,1.41701,1.42736,1.41331,1.42607,123682
2011.07.21,00:00,1.42606,1.44372,1.41387,1.44078,144370
2011.07.22,00:00,1.44072,1.44374,1.43243,1.43594,77192
2011.07.25,00:00,1.43668,1.44058,1.43249,1.43730,109464
2011.07.26,00:00,1.43728,1.45254,1.43563,1.45077,122003
2011.07.27,00:00,1.45076,1.45353,1.43385,1.43614,122435
2011.07.28,00:00,1.43617,1.44002,1.42546,1.43268,79123
2011.07.29,00:00,1.43273,1.44129,1.42293,1.43976,79489
2011.08.01,00:00,1.43474,1.44533,1.41842,1.42724,140170
2011.08.02,00:00,1.42722,1.42826,1.41511,1.41837,151019
2011.08.03,00:00,1.41835,1.43706,1.41431,1.43489,161031
2011.08.04,00:00,1.43493,1.43678,1.40557,1.40751,178167
2011.08.05,00:00,1.40748,1.42953,1.40701,1.42780,186133
2011.08.08,00:00,1.43071,1.44014,1.41289,1.41758,186053
2011.08.09,00:00,1.41760,1.43971,1.41523,1.43542,219288
2011.08.10,00:00,1.43526,1.44006,1.41231,1.41375,170925
2011.08.11,00:00,1.41390,1.42932,1.41030,1.42144,178617
2011.08.12,00:00,1.42142,1.42910,1.41494,1.42473,131828
2011.08.15,00:00,1.42835,1.44766,1.42632,1.44376,116993
2011.08.16,00:00,1.44371,1.44719,1.43540,1.43806,125262
2011.08.17,00:00,1.43807,1.45169,1.43245,1.44280,125158
2011.08.18,00:00,1.44278,1.44515,1.42711,1.42956,134306
2011.08.19,00:00,1.42961,1.44518,1.42588,1.43968,128767
2011.08.22,00:00,1.43658,1.44338,1.43472,1.43574,104339
2011.08.23,00:00,1.43575,1.44990,1.43570,1.44379,112759
2011.08.24,00:00,1.44378,1.44808,1.43796,1.44079,98754
2011.08.25,00:00,1.44075,1.44745,1.43280,1.43881,70798
2011.08.26,00:00,1.43882,1.45009,1.43292,1.44982,74981
2011.08.29,00:00,1.44814,1.45486,1.44662,1.45153,85275
2011.08.30,00:00,1.45154,1.45317,1.43835,1.44392,107500
2011.08.31,00:00,1.44396,1.44686,1.43587,1.43640,81759
2011.09.01,00:00,1.43646,1.43773,1.42262,1.42706,114973
2011.09.02,00:00,1.42705,1.42894,1.41842,1.42029,117003
2011.09.05,00:00,1.41484,1.41728,1.40585,1.40692,92641
2011.09.06,00:00,1.40693,1.42585,1.39736,1.40091,111799
2011.09.07,00:00,1.40098,1.41475,1.40098,1.40803,110711
2011.09.08,00:00,1.40793,1.40890,1.38730,1.38881,86054
